topic	original_folder	filename	n_chunks
Autres	Exams VO	Exam_2018_2019.pdf	4
Autres	Outils de simulation	IntroMATLAB.pdf	67
Autres	Plateforme- Energie	Cours_Plate-frome_Smart-Grid.pdf	26
Autres	Plateforme- Energie	fiche_puissances_en_alternatif.pdf	56
Autres	SCADA	SCADA partie 1.pdf	60
Autres	SIG	Exam_SIG.pdf	5
Autres	SMART ICT	Semestres de la filière SMART_Etudiants.pdf	5
Autres	TP Matlab	Rapport TP1 Matlab.pdf	5
Autres	TP SIG MERIEME	Rapport TP1.pdf	3
Autres	TP SIG MERIEME	Rapport TP4.pdf	3
Autres	TP SIG MERIEME	Rapport de TP2.pdf	9
Autres	TP SIG MERIEME	Rapport de TP3.pdf	9
Autres	TP SIG MERIEME	Rapport de TP5.pdf	4
Autres	Techniques pour Communications Mobiles	5_Simulation_Fading_Matlab.pdf	54
Autres	VR and AR	Jeu_Laby.pdf	1
Autres	VR and AR	TP1_Unity.pdf	4
Autres	VR and AR	jeu_Laby_Mixamo.pdf	4
Communications numériques & signal	2020-2021	Exam_1_2020_2021.pdf	7
Communications numériques & signal	Benjillali	Document_1.pdf	36
Communications numériques & signal	Benjillali	Selection_Assignment.pdf	2
Communications numériques & signal	Codage	Cours-ThInfoCod-INPT-chap1.pdf	27
Communications numériques & signal	Codage	compression_quantification.pdf	75
Communications numériques & signal	Complements	A_Very_Brief_Introduction_to_Machine_Learning_With_Applications_to_Communication_Systems.pdf	139
Communications numériques & signal	Complément	Code_Gray.pdf	7
Communications numériques & signal	Complément	Complément_1_Digital_Modulations.pdf	216
Communications numériques & signal	Complément	Complément_2_Constellations_Receivers.pdf	42
Communications numériques & signal	Complément	Complément_3_Modulations_Numériques.pdf	121
Communications numériques & signal	Complément	Constructing_a_Gray_Code.pdf	4
Communications numériques & signal	Cours	0_Syllabus.pdf	5
Communications numériques & signal	Cours	1_Slides_Introduction.pdf	27
Communications numériques & signal	Cours	2_Chapitre_Emission.pdf	75
Communications numériques & signal	Cours	2_Slides_Emission.pdf	30
Communications numériques & signal	Cours	3_Chapitre_Réception.pdf	87
Communications numériques & signal	Cours	3_Slides_Réception_I.pdf	20
Communications numériques & signal	Cours	3_Slides_Réception_III.pdf	16
Communications numériques & signal	Cours	5_2_Bayes_and_kNN_(Annexe).pdf	21
Communications numériques & signal	Decision estimation	Correction_ExamenEcrit_Smart2_Jan2024.pdf	24
Communications numériques & signal	Decision estimation	Correction_Examen_Ecrit_Dec2022.pdf	22
Communications numériques & signal	Decision estimation	Correction_Examen_Ecrit_Smart2_2025.pdf	26
Communications numériques & signal	Decision estimation	Decision_Estimation.pdf	114
Communications numériques & signal	Decision estimation	Examen_Ecrit_Smart2_2405.pdf	9
Communications numériques & signal	Decision estimation	Examen_Ecrit_Smart2_Dec2022.pdf	8
Communications numériques & signal	Decision estimation	Examen_Ecrit_Smart2_Jan2024.pdf	9
Communications numériques & signal	Decision estimation	SolutionTD_DecisionEstimation.pdf	75
Communications numériques & signal	Decision estimation	cours 2025.pdf	114
Communications numériques & signal	Devoir1	Devoir 1 El Yaagoubi Merieme.pdf	5
Communications numériques & signal	Docs	alnwaimi2018.pdf	61
Communications numériques & signal	Exam-ComNum 18-19 -BENJILALI	Exam +corr18-19 CommUnication Numerique BENJILALI.pdf	5
Communications numériques & signal	Exercices Complement ComNum BENJILALI	Exercices_Complement.pdf	2
Communications numériques & signal	IP et multimedia	SIPM-CompressionMultimedia-Chap1.pdf	55
Communications numériques & signal	Spectrum Sensing	A Comparative Study on Various Spectrum Sharing Techniques.pdf	30
Communications numériques & signal	Support de Transmission	DOUBLE_STUB.pdf	13
Communications numériques & signal	Synthese des filtres	E_FN_SesNum_20.pdf	3
Communications numériques & signal	Synthese des filtres	E_FN_Smart_ICT_20.pdf	2
Communications numériques & signal	Synthese des filtres	Exercices_Corrigés.pdf	157
Communications numériques & signal	Synthese des filtres	FN_Série_TD1.pdf	3
Communications numériques & signal	Synthese des filtres	FN_Série_TD2.pdf	1
Communications numériques & signal	Synthese des filtres	FN_TP1.pdf	8
Communications numériques & signal	Synthese des filtres	FN_ch1.pdf	27
Communications numériques & signal	Synthese des filtres	ch3_V0.pdf	13
Communications numériques & signal	TAMTAOUI	CN.pdf	8
Communications numériques & signal	TAMTAOUI	CommCHAP1.pdf	19
Communications numériques & signal	TAMTAOUI	CommCHAP2.pdf	14
Communications numériques & signal	TAMTAOUI	CommCHAP3.pdf	19
Communications numériques & signal	TAMTAOUI	consignes.pdf	2
Communications numériques & signal	TD	6mpXf4JnhnCP3qXxYiIkIEyYeFY7jVbxa6vgla2r.pdf	8
Communications numériques & signal	TD	TD1.pdf	16
Communications numériques & signal	TD	TD3 CRG.pdf	13
Communications numériques & signal	TD	TD3-AO.pdf	5
Communications numériques & signal	TD	TD3.pdf	6
Communications numériques & signal	TD	TD_3.pdf	6
Communications numériques & signal	TIV	TIV-INPT-2021.pdf	90
Communications numériques & signal	TIV	TP.pdf	5
Communications numériques & signal	TIV	TP_Traitement.pdf	4
Communications numériques & signal	TP	6_TP_Tree_Based_Methods.pdf	29
Communications numériques & signal	TP	TP1.pdf	7
Communications numériques & signal	TP	TP2.pdf	10
Communications numériques & signal	Tamtaoui DocSup Benjilali	Constellations_Receivers_BEP_SEP.pdf	42
Communications numériques & signal	Tamtaoui DocSup Benjilali	Modulations_Numériques_TA.pdf	19
Communications numériques & signal	Tamtaoui DocSup Benjilali	Reception_TA.pdf	14
Communications numériques & signal	Techniques shi 7aja	Communication_Large_BANDE_P1.pdf	44
Communications numériques & signal	Techniques shi 7aja	OFDM_Technique.pdf	42
Communications numériques & signal	Traitement de signal	Exam_Jan19_SD.pdf	5
Communications numériques & signal	Traitement de signal	Exam_Jan20_SD.pdf	6
Communications numériques & signal	Traitement de signal	Serie2_TSD.pdf	6
Communications numériques & signal	Traitement de signal	Support_Cours.pdf	130
Communications numériques & signal	corr TD1	Corrige_Ex9_p_35.pdf	4
Communications numériques & signal	corr TD1	Corrigé_Ex7_p34.pdf	2
Communications numériques & signal	corr TD1	Corrigé_Ex8_p34.pdf	2
Communications numériques & signal	larges bandes	OFDM_TD3.pdf	4
Communications numériques & signal	larges bandes	WBT_OFDM_SMART_ICT2.pdf	76
Communications numériques & signal	td	Examen-Théorie-info-Smart-Sesnum-V3-2020-2021.pdf	2
Communications numériques & signal	td	TD-Codage-Source-Smart-ICT.pdf	4
Communications numériques & signal	tp2	TP2-CHARIFI Zakaria.pdf	21
Informatique & données	Archi des ordis	correction exo 3 Série N°2.pdf	2
Informatique & données	Bases de données 24-25	BD_INPT_2025_Algèbre_Relationnelle.pdf	11
Informatique & données	Bases de données 24-25	BD_INPT_2025_Introduction.pdf	12
Informatique & données	Bases de données 24-25	BD_INPT_2025_Modèle_Relationnel (1).pdf	16
Informatique & données	Bases de données 24-25	BD_INPT_2025_Normalisation.pdf	16
Informatique & données	Bases de données 24-25	BD_INPT_2025_Procédures_Fonctions.pdf	28
Informatique & données	Bases de données 24-25	BD_INPT_2025_SQL.pdf	66
Informatique & données	Bases de données 24-25	BD_INPT_2025_Triggers.pdf	11
Informatique & données	Bigdata	Spark.pdf	51
Informatique & données	CSIMChap2-20210121	CSIM-ChapII-Biometrie.pdf	147
Informatique & données	CSIMChap2-20210121	CSIM-TP2-21.pdf	2
Informatique & données	CSIMChap2-20210121	INE3-SmartICT-Sujets-SIM-2021.pdf	2
Informatique & données	Complements	Applying_Supervised_Learning_MathWorks_eBook.pdf	33
Informatique & données	Complements	Applying_Unsupervised_Learning_MathWorks_eBook.pdf	24
Informatique & données	Complements	Reinforcement_Learning.pdf	78
Informatique & données	Cours	0_Learning_Methods_Classification.pdf	1
Informatique & données	Cours	0_PG_Textbook.pdf	1
Informatique & données	Cours	1_Notation_and_Matrix_Algebra.pdf	13
Informatique & données	Cours	2_1_Introduction_and_Generalities.pdf	62
Informatique & données	Cours	2_2_Assessing_Model_Accuracy_(Annexe).pdf	35
Informatique & données	Cours	2_3_Cross_Validation_(Annexe).pdf	45
Informatique & données	Cours	3_1_Linear_Regression.pdf	170
Informatique & données	Cours	4_Non_Linear_Regression_Methods.pdf	66
Informatique & données	Cours	5_1_Classification.pdf	148
